lap,t_s,lat,lon,alt_m,speed_ms,g_lat,g_long,throttle,brake,tire_temp_C,ers_battery_MJ
1,0.0,34.8405062,136.5391435,29.0,77.315,1.5348,5.2793,1,0.0,85.0,3.992
1,0.01,34.8405016,136.5391452,29.0,77.342,1.5348,5.2793,1,0.0,85.0,3.992
1,0.02,34.8405024,136.5391449,29.0,77.338,1.5348,5.2793,1,0.0,85.0,3.992
1,0.03,34.8405189,136.5391336,29.0,77.261,2.5636,-9.8023,0,0.258,85.08,3.988
1,0.04,34.8405201,136.5391328,29.0,77.343,2.5636,-9.8023,0,0.258,85.08,3.988
1,0.05,34.8405235,136.5391305,29.0,77.338,2.5636,-9.8023,0,0.258,85.08,3.988
1,0.06,34.8405397,136.5391161,29.0,77.243,1.0211,-17.4339,0,0.459,85.03,3.999
1,0.07,34.8405398,136.5391127,29.0,77.287,1.0211,-17.4339,0,0.459,85.03,3.999
1,0.08,34.8405598,136.539103,29.0,76.31,2.4013,-23.1555,0,0.609,85.1,4.0
1,0.09,34.8405609,136.5391006,29.0,76.321,2.4013,-23.1555,0,0.609,85.1,4.0
1,0.1,34.840559,136.5391035,29.0,76.286,2.4013,-23.1555,0,0.609,85.1,4.0
1,0.11,34.8405717,136.53909,29.0,75.659,3.0001,-27.6844,0,0.729,85.22,4.0
1,0.12,34.8405738,136.5390931,29.0,75.655,3.0001,-27.6844,0,0.729,85.22,4.0
1,0.13,34.8405865,136.5390786,29.0,75.14,2.936,-30.9554,0,0.815,85.32,4.0
1,0.14,34.8405849,136.539077,29.0,75.11,2.936,-30.9554,0,0.815,85.32,4.0
1,0.15,34.8405839,136.5390784,29.0,75.216,2.936,-30.9554,0,0.815,85.32,4.0
1,0.16,34.8405998,136.5390706,29.0,74.024,3.6265,-35.978,0,0.947,85.49,4.0
1,0.17,34.8405989,136.5390751,29.0,73.966,3.6265,-35.978,0,0.947,85.49,4.0
1,0.18,34.8405956,136.5390746,29.0,73.986,3.6265,-35.978,0,0.947,85.49,4.0
1,0.19,34.8406134,136.5390675,29.0,73.124,2.7528,-37.0702,0,0.976,85.57,4.0
1,0.2,34.8406122,136.5390657,29.0,73.093,2.7528,-37.0702,0,0.976,85.57,4.0
1,0.21,34.8406319,136.5390563,29.0,71.925,3.8411,-36.9293,0,0.972,85.75,4.0
1,0.22,34.840632,136.5390527,29.0,71.915,3.8411,-36.9293,0,0.972,85.75,4.0
1,0.23,34.8406342,136.5390532,29.0,71.954,3.8411,-36.9293,0,0.972,85.75,4.0
1,0.24,34.8406503,136.539035,29.0,71.001,0.8358,-40.1667,0,1.0,85.67,4.0
1,0.25,34.8406524,136.539032,29.0,70.935,0.8358,-40.1667,0,1.0,85.67,4.0
1,0.26,34.8406525,136.5390336,29.0,70.962,0.8358,-40.1667,0,1.0,85.67,4.0
1,0.27,34.8406669,136.5390178,29.0,69.729,0.9151,-39.8185,0,1.0,85.61,4.0
1,0.28,34.8406683,136.5390195,29.0,69.666,0.9151,-39.8185,0,1.0,85.61,4.0
1,0.29,34.8406727,136.5390223,29.0,69.728,0.9151,-39.8185,0,1.0,85.61,4.0
1,0.3,34.8406855,136.5390089,29.0,68.416,3.796,-30.0873,0,0.792,85.77,4.0
1,0.31,34.8406859,136.5390065,29.0,68.399,3.796,-30.0873,0,0.792,85.77,4.0
1,0.32,34.8406844,136.5390056,29.0,68.45,3.796,-30.0873,0,0.792,85.77,4.0
1,0.33,34.8406997,136.5389921,29.0,67.799,3.8737,-9.19,0,0.242,85.94,4.0
1,0.34,34.8406985,136.5389926,29.0,67.758,3.8737,-9.19,0,0.242,85.94,4.0
1,0.35000000000000003,34.8406925,136.5389936,29.0,67.79,3.8737,-9.19,0,0.242,85.94,4.0
1,0.36,34.8407061,136.5389806,29.0,67.943,2.8985,8.3659,1,0.0,86.03,4.0
1,0.37,34.8407079,136.5389858,29.0,67.898,2.8985,8.3659,1,0.0,86.03,4.0
1,0.38,34.8407056,136.538984,29.0,67.873,2.8985,8.3659,1,0.0,86.03,4.0
1,0.39,34.8407229,136.5389769,29.0,68.776,0.4954,11.4631,1,0.0,85.92,3.996
1,0.4,34.8407227,136.5389739,29.0,68.713,0.4954,11.4631,1,0.0,85.92,3.996
1,0.41000000000000003,34.840736,136.5389611,29.0,68.879,1.8783,8.1124,1,0.0,85.92,3.992
1,0.42,34.8407376,136.5389645,29.0,68.869,1.8783,8.1124,1,0.0,85.92,3.992
1,0.43,34.8407385,136.5389674,29.0,68.869,1.8783,8.1124,1,0.0,85.92,3.992
1,0.44,34.8407532,136.5389526,29.0,68.714,2.2866,7.6576,1,0.0,85.96,3.988
1,0.45,34.8407548,136.5389538,29.0,68.69,2.2866,7.6576,1,0.0,85.96,3.988
1,0.46,34.8407543,136.5389545,29.0,68.702,2.2866,7.6576,1,0.0,85.96,3.988
1,0.47000000000000003,34.8407647,136.5389403,29.0,69.282,1.2634,11.9856,1,0.0,85.91,3.984
1,0.48,34.8407635,136.5389416,29.0,69.293,1.2634,11.9856,1,0.0,85.91,3.984
1,0.49,34.8407592,136.5389463,29.0,69.29,1.2634,11.9856,1,0.0,85.91,3.984
1,0.5,34.8407748,136.5389329,29.0,69.64,0.9871,15.0402,1,0.0,85.84,3.98
1,0.51,34.8407768,136.5389334,29.0,69.659,0.9871,15.0402,1,0.0,85.84,3.98
1,0.52,34.8407787,136.5389343,29.0,69.619,0.9871,15.0402,1,0.0,85.84,3.98
1,0.53,34.8407943,136.5389166,29.0,69.99,0.418,12.1753,1,0.0,85.73,3.976
1,0.54,34.840796,136.5389173,29.0,69.921,0.418,12.1753,1,0.0,85.73,3.976
1,0.55,34.8407918,136.5389138,29.0,69.956,0.418,12.1753,1,0.0,85.73,3.976
1,0.56,34.8408049,136.5388975,29.0,70.458,0.3188,7.6839,1,0.0,85.61,3.972
1,0.5700000000000001,34.8408016,136.5389033,29.0,70.544,0.3188,7.6839,1,0.0,85.61,3.972
1,0.58,34.8408009,136.5389019,29.0,70.567,0.3188,7.6839,1,0.0,85.61,3.972
1,0.59,34.8408182,136.5388847,29.0,70.51,-0.2685,3.139,1,0.0,85.48,3.968
1,0.6,34.8408205,136.5388876,29.0,70.487,-0.2685,3.139,1,0.0,85.48,3.968
1,0.61,34.8408216,136.5388844,29.0,70.527,-0.2685,3.139,1,0.0,85.48,3.968
1,0.62,34.8408349,136.5388694,29.0,70.604,-0.2252,-0.9041,0,0.024,85.36,3.964
1,0.63,34.8408323,136.5388727,29.0,70.623,-0.2252,-0.9041,0,0.024,85.36,3.964
1,0.64,34.8408456,136.5388573,29.0,70.633,-0.3639,-2.3534,0,0.062,85.24,3.96
